Interview Schedule - Round 1,,,,,,,,Sheet shared with students,,,,
,,,,,,,,,,,,
COMPANY NAME,,,,[Fermat Commerce],,,,START DATE,26-02-2024,,,
CR NAME & CONTACT DETAILS,,,,Adityasinh Chauhan - 8780117395,,,,END DATE,26-02-2024,,,3/12/2018
,,,,Dhruv Savani - 7041657297,,,,,,,,
,,,,Meet Upadhyay - 8160115462,,,,,,,,
,,,,Mustafa - 9974363143,,,,,,,,
Sr. No.,Name of the student,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student Id,Email,Program,Contact No.,Whatsapp No.,Alternate No.,Skype Id
1,Xavier Patel,26-02-2024,Completed,9:30 PM,10:30 PM,201601244,logan.reynolds@example.com,B.Tech ICT,9876543211,9876543211,9979798500,
2,Sophia Nguyen,27-02-2024,Completed,8:00 PM,9:00 PM,201811089,chloe.parker@example.com,MTech ICT,9876543215,,,
3,Elijah Garcia,28-02-2024,Completed,7:30 PM,8:30 PM,201601123,liam.wilson@example.com,BTech IcT,9876543215,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
